Nome,Squadra,Unveil_FVM,Gazzetta_Fascia,PazzidiFanta,Mia_Valutazione,Note
Lautaro Martinez,Inter,85,85,87,86,Capocannoniere Serie A
Federico Chiesa,Juventus,78,78,80,79,Ex Fiorentina
Erling Haaland,Manchester City,95,95,97,96,Capocannoniere Premier
Kylian Mbappé,Real Madrid,93,93,95,94,Ex PSG
Vinicius Jr,Real Madrid,88,88,90,89,Ala sinistra
Jude Bellingham,Real Madrid,86,86,88,87,Centrocampista offensivo
Khvicha Kvaratskhelia,Napoli,82,82,84,83,Ala destra
Victor Osimhen,Napoli,84,84,86,85,Attaccante centrale
Rafael Leão,Milan,83,83,85,84,Ala sinistra
Theo Hernández,Milan,79,79,81,80,Terzino sinistro
